RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-005187,2012/01/18 00:00:00+00,1845,"O,42 to 44",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,176
B2-004553,2012/01/17 00:00:00+00,1253,401 N 46 at LIBERTY FIRST,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,177
B2-000510,2012/01/02 00:00:00+00,9999,3500 N 27 at MENARDS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,178
B2-005101,2012/01/18 00:00:00+00,1355,8800 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,179
B2-003232,2012/01/11 00:00:00+00,2333,"E,S 16 to S 17",NON-INJ H&R,SIDE SWIPE,3,0,NO,NO,NO,NO,NO,NO,NO,180
B2-005189,2012/01/18 00:00:00+00,1850,"S 13,BURNHAM to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,181
B2-002545,2012/01/09 00:00:00+00,1810,PIEDMONT at S COTNER,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,182
B2-004559,2012/01/16 00:00:00+00,9999,"APPLE,N 38 to N 40",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,183
B2-005102,2012/01/18 00:00:00+00,1403,"S 10,K to L",INJURY,TURNING,1,1,YES,NO,NO,NO,NO,YES,NO,184
B2-005210,2012/01/18 00:00:00+00,2017,N 27 at HOLDREGE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,185
B2-000516,2012/01/02 00:00:00+00,1805,S 16 at H,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,186
B2-002606,2012/01/09 00:00:00+00,2141,"O,12 to 13",INJURY H&R,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,187
B2-003232,2012/01/11 00:00:00+00,2333,"E,S 16 to S 17",NON-INJ,,3,0,NO,NO,NO,NO,NO,NO,NO,188
B2-004564,2012/01/16 00:00:00+00,1410,"S 27,J to K",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,189
B2-005104,2012/01/18 00:00:00+00,1413,O at COTNER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,190
B2-005309,2012/01/19 00:00:00+00,730,"O,84 to RUSSWOOD PKWY",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,191
B2-000535,2012/01/02 00:00:00+00,1800,"F,S 12 to S 13",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,192
B2-003254,2012/01/12 00:00:00+00,200,I 180 at CORNHUSKER,NON-INJ,TURNING,1,0,NO,NO,NO,NO,NO,NO,NO,193
B2-002642,2012/01/10 00:00:00+00,110,"N 24,U to DEAD END",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,194
B2-004589,2012/01/16 00:00:00+00,1619,N 27 at KENSINGTON,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,195
B2-005310,2012/01/19 00:00:00+00,747,S 40 at VAN DORN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,196
B2-005108,2012/01/18 00:00:00+00,1430,N 10 at Q,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,197
B2-000547,2012/01/02 00:00:00+00,2058,"O,18 to 19",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,198
B2-002659,2012/01/10 00:00:00+00,610,LEIGHTON at N COTNER,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,199
B2-003267,2012/01/12 00:00:00+00,150,"NW 4 & NW 6,W SAUNDERS to W DAWES",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,200
B2-004613,2012/01/16 00:00:00+00,1803,"S 27,JAMESON NORTH to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,201
B2-005311,2012/01/19 00:00:00+00,750,"N 56,FREMONT to HARTLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,202
B2-005109,2012/01/18 00:00:00+00,1437,S 54 at HIGH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,203
B2-002663,2012/01/10 00:00:00+00,728,J at CAPITOL PKWY,INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,204
B2-000621,2012/01/03 00:00:00+00,605,"NW 48,W CUMING to CITY LIMITS",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,YES,NO,205
B2-003285,,999,FLETCHER at TELLURIDE DR,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,206
B2-004622,2012/01/16 00:00:00+00,1846,48 at O,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,207
B2-005357,2012/01/19 00:00:00+00,1115,"SCOTTSDALE LN,CANYON to S 34",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,208
B2-005110,2012/01/18 00:00:00+00,1443,"N 17,O to P",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,209
B2-002667,2012/01/10 00:00:00+00,725,"VAN DORN,S 40 to S 41",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,210
B2-000672,2012/01/03 00:00:00+00,1122,N 26 at Q,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,211
B2-003295,2012/01/12 00:00:00+00,623,"N 27,ENTERPRISE to FLETCHER",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,212
B2-004700,2012/01/17 00:00:00+00,455,33 at O,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,213
B2-005359,2012/01/19 00:00:00+00,1116,S 17 at L,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,214
B2-005121,2012/01/18 00:00:00+00,1508,"S 48,LINDEN to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,215
B2-002669,2012/01/10 00:00:00+00,810,"A,S 13 to S 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,216
B2-000689,2012/01/03 00:00:00+00,1216,"S 33,A to WASHINGTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,217
B2-003303,2012/01/12 00:00:00+00,721,7400 A at SEACREST FIELD,INJURY,,1,1,NO,NO,NO,NO,NO,NO,NO,218
B2-004701,2012/01/17 00:00:00+00,500,N 11 at SAUNDERS,INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,219
B2-005374,2012/01/19 00:00:00+00,9999,8800 O at SE COMM COLL,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,220
B2-005122,2011/12/23 00:00:00+00,9999,4700 N 27 at WALMART,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,221
B2-003305,2012/01/12 00:00:00+00,730,N PARK RD at W ADAMS,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,222
B2-000699,2012/01/03 00:00:00+00,1210,"N 7,P to Q",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,YES,NO,223
B2-002674,2012/01/10 00:00:00+00,856,"S 10,ARAPAHOE to CALVERT",NON-INJ,,2,0,NO,YES,NO,NO,NO,NO,NO,224
B2-004709,2012/01/17 00:00:00+00,605,"HOMESTEAD EXP,ROSA PARKS WAY to W VAN DORN",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,225
B2-005379,2012/01/19 00:00:00+00,1233,"S 13,BURNHAM to NEBR HWY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,226
B2-005133,2012/01/18 00:00:00+00,1550,"S 84,EAST POINTE to FIRETHORN LN",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,NO,NO,227
B2-003306,2012/01/12 00:00:00+00,738,"SOUTHWOOD DR,GRASSRIDGE to NEBR HWY",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,228
B2-002688,2012/01/10 00:00:00+00,950,S 17 at K,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,229
B2-000706,2012/01/03 00:00:00+00,1408,625 N 46 at -,INJURY,,1,2,NO,NO,NO,NO,NO,NO,NO,230
B2-004711,2012/01/17 00:00:00+00,620,"S 17,E to F",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,231
B2-002711,2012/01/10 00:00:00+00,1140,S 38 at PINE LAKE,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,232
B2-005380,2012/01/19 00:00:00+00,1238,"S 10,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,233
B2-005135,2012/01/18 00:00:00+00,1600,110 COLLEGE PARK at LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,234
B2-003315,2012/01/12 00:00:00+00,816,CLAREMONT at N 9 & N 10,NON-INJ,BACKING,1,0,NO,NO,NO,NO,NO,NO,NO,235
B2-000709,2012/01/03 00:00:00+00,1414,"WARLICK,CREEKSIDE to OLD CHENEY",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,236
B2-004712,2012/01/17 00:00:00+00,618,"NORMAL,EVERETT to GARFIELD",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,237
B2-005145,2012/01/18 00:00:00+00,1630,"S 11,F to G",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,238
B2-002722,2012/01/10 00:00:00+00,1230,"N 48,O to R",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,239
B2-005389,2012/01/19 00:00:00+00,1309,"S 27,ALPHA to CAPITOL PKWY",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,240
B2-003329,2012/01/12 00:00:00+00,915,"N ANTELOPE VALL,VINE to N 17",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,241
B2-004717,2012/01/17 00:00:00+00,648,"S 56,SAYLOR to SOUTH",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,242
B2-000728,2012/01/03 00:00:00+00,9999,6100 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,243
B2-005149,2012/01/18 00:00:00+00,1130,N 10 at Q,INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,NO,NO,244
B2-002729,2012/01/10 00:00:00+00,1250,"LOWELL,S 47 to S 48",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,245
B2-005399,2012/01/19 00:00:00+00,1346,"S 27,NEBR HWY to WOODS BLVD",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,246
B2-003330,2012/01/12 00:00:00+00,918,"L,S 10 to S 11",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,247
B2-004718,2012/01/17 00:00:00+00,700,"NW 48,W CUMING to CITY LIMITS",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,248
B2-000775,2012/01/03 00:00:00+00,1726,"N 27,APPLE to W",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,249
B2-002743,2012/01/10 00:00:00+00,1333,"N 27,CLINTON to HOLDREGE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,250
B2-005404,2012/01/06 00:00:00+00,9999,1010 W CORNHUSKE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,251
B2-005151,2012/01/18 00:00:00+00,1643,"O,25 to 26",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,252
B2-003335,2012/01/12 00:00:00+00,835,"N 8,P to Q",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,YES,NO,253
B2-004719,2012/01/17 00:00:00+00,700,"S 27,NEBR HWY to PICCADILLY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,254
B2-000807,2012/01/03 00:00:00+00,1941,S 56 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,255
B2-002758,2012/01/10 00:00:00+00,1423,"S 20,HARWOOD to SOUTH",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,256
B2-005420,2012/01/19 00:00:00+00,1435,N 10 at P,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,257
B2-003340,2012/01/12 00:00:00+00,947,"S 27,ALPHA to CAPITOL PKWY",NON-INJ H&R,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,258
B2-005429,2012/01/19 00:00:00+00,1520,"S 27,M to N",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,259
B2-000866,2012/01/04 00:00:00+00,118,2545 CORNHUSKER at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,NO,NO,260
B2-002760,2012/01/10 00:00:00+00,1425,"S 14,GALLOWAY to ABERDEEN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,261
B2-004721,2012/01/17 00:00:00+00,720,"S 10,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,262
B2-003347,2012/01/12 00:00:00+00,1000,"N 66,O to Q",NON-INJ,DRIVEWAY,1,0,NO,NO,NO,NO,NO,YES,NO,263
B2-002769,2012/01/10 00:00:00+00,1451,"PINE LAKE,S 56 to S 59 CR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,264
B2-000874,2012/01/04 00:00:00+00,9999,"N 1,O to P",NON-INJ H&R,UNKNOWN,1,0,NO,NO,NO,NO,NO,NO,NO,265
B2-005431,2012/01/19 00:00:00+00,1515,"S 17,M to N",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,266
B2-004722,2012/01/17 00:00:00+00,733,MANATT at LEWIS,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,267
B2-003358,2012/01/12 00:00:00+00,1108,"W O,CAPITOL BEACH to NW ROUNDHOUSE",FATAL,HEAD ON,2,1,NO,NO,NO,NO,NO,YES,NO,268
B2-002781,2012/01/10 00:00:00+00,1505,"N COTNER,HUNTINGTON to WALKER",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,269
B2-000881,2012/01/04 00:00:00+00,9999,N 48 at CORNHUSKER,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,270
B2-005434,2012/01/19 00:00:00+00,1526,"S 14,CENTERPARK to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,271
B2-004723,2012/01/17 00:00:00+00,749,"S 33,CALVERT to STOCKWELL",INJURY,HEAD ON,2,3,NO,NO,NO,NO,NO,NO,NO,272
B2-003370,2012/01/12 00:00:00+00,130,"N 10,Q to R",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,273
B2-002797,2012/01/10 00:00:00+00,1525,"N COTNER,HUNTINGTON to WALKER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,274
B2-000934,2012/01/04 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,275
B2-005438,2012/01/19 00:00:00+00,1535,"N 27,DUDLEY to STARR",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,276
B2-004724,2012/01/17 00:00:00+00,750,"W KNIGHT,NW 48 to NW 49",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,277
B2-002802,2012/01/10 00:00:00+00,1549,"VINE,N 26 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,278
B2-000959,2012/01/04 00:00:00+00,1248,"O,14 to CENTENNIAL MALL",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,279
B2-003372,2012/01/12 00:00:00+00,700,2401 N 48 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,280
B2-005460,2012/01/19 00:00:00+00,1430,"N 29,CLINTON to POTTER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,281
B2-004726,2012/01/17 00:00:00+00,757,"O,38 to 40",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,282
B2-002819,2012/01/10 00:00:00+00,1628,"CORNHUSKER,N 44 to N 48",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,283
B2-000967,2012/01/04 00:00:00+00,1312,"S 70,EDENTON to OLD CHENEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,284
B2-003377,2012/01/12 00:00:00+00,1217,"VINE,N 16 to N 17",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,285
B2-005464,2012/01/19 00:00:00+00,1635,NW 14 at W Q,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,286
B2-004731,2012/01/17 00:00:00+00,800,S 56 at VAN DORN,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,287
B2-000979,2012/01/04 00:00:00+00,1355,"N 33,APPLE to X",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,288
B2-002828,2012/01/10 00:00:00+00,1639,1600 SOUTH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,289
B2-003384,2012/01/12 00:00:00+00,1230,"VINE,EL AVADO to MAHONEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,290
B2-005465,2012/01/19 00:00:00+00,1830,N 35 at BALDWIN,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,291
B2-004734,2012/01/17 00:00:00+00,802,N 56 at LEIGHTON,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,292
B2-000988,2012/01/04 00:00:00+00,1410,"S 70,A to TETON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,293
B2-003404,2012/01/12 00:00:00+00,1200,"DELHAY,CLEVELAND to N 63",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,294
B2-005466,2012/01/19 00:00:00+00,1635,N 19 at P,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,295
B2-004745,2012/01/17 00:00:00+00,818,PINE LAKE at S 59 CR,NON-INJ,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,296
B2-000994,2012/01/04 00:00:00+00,9999,"S 39,LAKE to SEWELL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,297
B2-003416,2012/01/12 00:00:00+00,1431,"S 17,J to K",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,298
B2-005477,2012/01/19 00:00:00+00,1724,6767 S 14 at LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,YES,299
B2-004748,2012/01/17 00:00:00+00,840,"S 70,SOUTHFORK to NEBR HWY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,300
B2-000997,2012/01/04 00:00:00+00,1438,151 SW 48 ST at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,301
B2-003420,2012/01/12 00:00:00+00,1425,"R,N 56 to ORCUTT E",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,302
B2-005485,2012/01/19 00:00:00+00,1822,"NEBR HWY,S 27 to PIONEERS",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,303
B2-004761,2012/01/17 00:00:00+00,945,"VINE,N 22 to N 23",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,304
B2-001012,2012/01/04 00:00:00+00,1530,"N 27,HOLDREGE to STARR",INJURY,REAR END,3,1,NO,NO,NO,NO,NO,NO,NO,305
B2-003430,2012/01/12 00:00:00+00,1509,"SW 19,W JEAN to W SOUTH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,306
B2-004766,2012/01/17 00:00:00+00,950,"O,11 to 12",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,307
B2-005491,2012/01/19 00:00:00+00,1830,"VINE,N ANTELOPE VALL to N 21",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,308
B2-001032,2012/01/04 00:00:00+00,1630,"S 56,NEBR HWY to SHADY CREEK",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,309
B2-003473,2012/01/12 00:00:00+00,1753,"S 14,CENTERPARK to SERVICE ROAD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,310
B2-004767,2012/01/17 00:00:00+00,950,S 34 at PINE LAKE,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,311
B2-005576,2012/01/20 00:00:00+00,211,"OREGON,NW 1 to NW 2",NON-INJ H&R,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,YES,NO,312
B2-001033,2012/01/04 00:00:00+00,1654,"S 84,ROCKLEDGE to EAST POINTE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,313
B2-003476,2012/01/12 00:00:00+00,1805,"N 11,CORNHUSKER to SAUNDERS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,314
B2-004774,2012/01/11 00:00:00+00,1530,400 N 48 at TJ MAXX LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,315
B2-005578,2012/01/20 00:00:00+00,9999,"N 2,MANATT CT to HARTLEY",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,316
B2-001054,2012/01/04 00:00:00+00,1743,"DOUGAN,WESTSHORE to S 80",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,317
B2-003487,2012/01/12 00:00:00+00,1836,SUN VALLEY at W O,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,318
B2-004775,2012/01/17 00:00:00+00,930,"SALTILLO,S 25 to CITY LIMITS",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,319
B2-005585,2012/01/20 00:00:00+00,742,S 51 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,320
B2-001185,2012/01/05 00:00:00+00,637,"S FOLSOM,ROSA PARKS WAY to W E",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,321
B2-003505,2012/01/12 00:00:00+00,1946,NW 48 at AIR PARK RD,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,322
B2-004777,2012/01/17 00:00:00+00,1104,"W CHARLESTON,DEAD END to N 1",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,323
B2-005589,2012/01/20 00:00:00+00,745,S 18 at L,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,YES,324
B2-001187,2012/01/05 00:00:00+00,630,635 J at -,NON-INJ,,1,0,NO,NO,NO,NO,NO,YES,NO,325
B2-003515,2012/01/12 00:00:00+00,2041,"KNOX,N 49 to N 50",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,326
B2-003518,2012/01/12 00:00:00+00,2010,1000 S 70 at EAST HIGH SCHOOL,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,327
B2-001191,2012/01/05 00:00:00+00,733,"K,S 12 to S 13",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,328
B2-005590,2012/01/20 00:00:00+00,748,"LEIGHTON,N 56 to N 57",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,329
B2-004779,2012/01/17 00:00:00+00,1108,"SOUTH,PEPPER to S 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,330
B2-003589,2012/01/13 00:00:00+00,600,", to",FATAL,,1,0,NO,NO,NO,NO,NO,NO,NO,331
B2-005594,2012/01/20 00:00:00+00,744,"O,29 to 30",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,332
B2-003596,,999,"W Q,NW 22 to NW 23",NON-INJ H&R,PARKED,1,0,NO,NO,NO,NO,NO,NO,NO,333
B2-005597,2012/01/20 00:00:00+00,800,"S CODDINGTON,DEAD END to MAGNUM CR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,334
B2-005598,2012/01/17 00:00:00+00,550,"CALVERT,S 47 to S 48",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,335
B2-005605,2012/01/20 00:00:00+00,9999,3250 N 20 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,336
B2-005641,2012/01/20 00:00:00+00,1152,"PINE LAKE,S 14 to S 16",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,337
B2-005644,2012/01/20 00:00:00+00,9999,"DONNIE CT,SW 10 to DEAD END",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,338
B2-005646,2012/01/20 00:00:00+00,1220,"O,16 to CENTENNIAL MALL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,339
B2-005662,2012/01/20 00:00:00+00,1315,"O,27 to 28",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,340
B2-005678,2012/01/20 00:00:00+00,1354,"S 40,LAKE to NORMAL",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,341
B2-005681,2012/01/20 00:00:00+00,1403,"CORNHUSKER,N 23 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,342
B2-005695,2012/01/20 00:00:00+00,1510,S 70 at TETON,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,343
B2-005705,2012/01/20 00:00:00+00,1535,"A,CRESTLINE to S 58",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,344
B2-005711,2012/01/20 00:00:00+00,1554,STARLING at OAKRIDGE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,345
B2-005723,2012/01/20 00:00:00+00,9999,2920 S 84 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,346
B2-005732,2012/01/20 00:00:00+00,1645,"O,13 to 14",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,347
B2-005739,2012/01/20 00:00:00+00,1709,"S 48,F to RANDOLPH",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,YES,NO,348
B2-005741,2012/01/20 00:00:00+00,1716,"N 25,T to U",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,349
B2-005742,2012/01/20 00:00:00+00,1710,"SUPERIOR,BEL RIDGE to N 19",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,350
B2-003611,2012/01/13 00:00:00+00,845,NW 16 at W S,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,351
